Name of the president,Date of the union address,Link to Address,Filename_AddressText
George Washington,January-8-1790,http://www.infoplease.com/t/hist/state-of-the-union/1.html,C:\Users\Sri Vishnu theja\Parse\1.txt
George Washington,December-8-1790,http://www.infoplease.com/t/hist/state-of-the-union/2.html,C:\Users\Sri Vishnu theja\Parse\2.txt
George Washington,October-25-1791,http://www.infoplease.com/t/hist/state-of-the-union/3.html,C:\Users\Sri Vishnu theja\Parse\3.txt
George Washington,November-6-1792,http://www.infoplease.com/t/hist/state-of-the-union/4.html,C:\Users\Sri Vishnu theja\Parse\4.txt
George Washington,December-3-1793,http://www.infoplease.com/t/hist/state-of-the-union/5.html,C:\Users\Sri Vishnu theja\Parse\5.txt
George Washington,November-19-1794,http://www.infoplease.com/t/hist/state-of-the-union/6.html,C:\Users\Sri Vishnu theja\Parse\6.txt
George Washington,December-8-1795,http://www.infoplease.com/t/hist/state-of-the-union/7.html,C:\Users\Sri Vishnu theja\Parse\7.txt
George Washington,December-7-1796,http://www.infoplease.com/t/hist/state-of-the-union/8.html,C:\Users\Sri Vishnu theja\Parse\8.txt
John Adams,November-22-1797,http://www.infoplease.com/t/hist/state-of-the-union/9.html,C:\Users\Sri Vishnu theja\Parse\9.txt
John Adams,December-8-1798,http://www.infoplease.com/t/hist/state-of-the-union/10.html,C:\Users\Sri Vishnu theja\Parse\10.txt
John Adams,December-3-1799,http://www.infoplease.com/t/hist/state-of-the-union/11.html,C:\Users\Sri Vishnu theja\Parse\11.txt
John Adams,November-11-1800,http://www.infoplease.com/t/hist/state-of-the-union/12.html,C:\Users\Sri Vishnu theja\Parse\12.txt
Thomas Jefferson,December-8-1801,http://www.infoplease.com/t/hist/state-of-the-union/13.html,C:\Users\Sri Vishnu theja\Parse\13.txt
Thomas Jefferson,December-15-1802,http://www.infoplease.com/t/hist/state-of-the-union/14.html,C:\Users\Sri Vishnu theja\Parse\14.txt
Thomas Jefferson,October-17-1803,http://www.infoplease.com/t/hist/state-of-the-union/15.html,C:\Users\Sri Vishnu theja\Parse\15.txt
Thomas Jefferson,November-8-1804,http://www.infoplease.com/t/hist/state-of-the-union/16.html,C:\Users\Sri Vishnu theja\Parse\16.txt
Thomas Jefferson,December-3-1805,http://www.infoplease.com/t/hist/state-of-the-union/17.html,C:\Users\Sri Vishnu theja\Parse\17.txt
Thomas Jefferson,December-2-1806,http://www.infoplease.com/t/hist/state-of-the-union/18.html,C:\Users\Sri Vishnu theja\Parse\18.txt
Thomas Jefferson,October-27-1807,http://www.infoplease.com/t/hist/state-of-the-union/19.html,C:\Users\Sri Vishnu theja\Parse\19.txt
